time	V(n001)	V(n002)
9.009496126633441e-002	5.584524e+000	2.804279e+000
9.038793001633440e-002	4.636164e+000	2.328083e+000
9.068089876633438e-002	3.631307e+000	1.823519e+000
9.097386751633436e-002	2.582199e+000	1.296737e+000
9.126683626633435e-002	1.501624e+000	7.541571e-001
9.146214876633434e-002	7.702506e-001	3.869228e-001
9.155980501633433e-002	4.027500e-001	2.023970e-001
9.165746126633433e-002	3.470347e-002	1.759980e-002
9.175511751633432e-002	-3.333901e-001	-1.672162e-001
9.185277376633431e-002	-7.010317e-001	-3.517123e-001
9.195043001633431e-002	-1.067723e+000	-5.224801e-001
9.204808626633430e-002	-1.432968e+000	-6.425107e-001
9.214574251633430e-002	-1.796271e+000	-6.966345e-001
